date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/16/2025,IZRL,ARYT INDUSTRIES LTD,ARYT,6049740,"242,060","$3,272,866.98",2.72%
09/16/2025,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,"252,227","$2,900,610.50",2.41%
09/16/2025,IZRL,PAGAYA TECHNOLOGIES LTD -A,PGY,BQ5J6B6,"68,149","$2,858,850.55",2.38%
09/16/2025,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,"66,329","$2,852,147.00",2.37%
09/16/2025,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,"40,602","$2,679,325.98",2.23%
09/16/2025,IZRL,RP OPTICAL LAB LTD,RPOL,BRQQ0K0,"397,671","$2,495,046.36",2.08%
09/16/2025,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,"5,182","$2,466,372.90",2.05%
09/16/2025,IZRL,JFROG LTD,FROG,M6191J100,"48,542","$2,396,033.12",1.99%
09/16/2025,IZRL,CELLEBRITE DI LTD,CLBT,M2197Q107,"136,766","$2,383,831.38",1.98%
09/16/2025,IZRL,ISROTEL LTD,ISRO,6468226,"64,483","$2,373,973.24",1.97%
09/16/2025,IZRL,SIMILARWEB LTD,SMWB,M84137104,"235,649","$2,354,133.51",1.96%
09/16/2025,IZRL,TAT TECHNOLOGIES LTD,TATTF,B0H5D20,"64,333","$2,355,015.62",1.96%
09/16/2025,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,"129,800","$2,344,188.00",1.95%
09/16/2025,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,"4,636","$2,293,207.63",1.91%
09/16/2025,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,"121,609","$2,297,194.01",1.91%
09/16/2025,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,6103936,"11,729","$2,184,938.94",1.82%
09/16/2025,IZRL,WIX.COM LTD,WIX,M98068105,"12,798","$2,186,794.26",1.82%
09/16/2025,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,"220,862","$2,161,276.19",1.80%
09/16/2025,IZRL,NAYAX LTD,NYAX,BMXT7N9,"44,165","$2,149,055.45",1.79%
09/16/2025,IZRL,MALAM - TEAM LTD,MLTM,6875923,"61,349","$2,150,605.64",1.79%
09/16/2025,IZRL,NOVA LTD,NVMI,M7516K103,"7,098","$2,125,354.14",1.77%
09/16/2025,IZRL,ALLOT LTD,ALLT,B5MN8M9,"231,950","$2,105,081.97",1.75%
09/16/2025,IZRL,RADCOM LTD,RDCM,M81865111,"148,086","$2,096,897.76",1.74%
09/16/2025,IZRL,INMODE LTD,INMD,M5425M103,"140,945","$2,094,442.70",1.74%
09/16/2025,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,"216,780","$2,046,955.26",1.70%
09/16/2025,IZRL,WALKME LTD,WKME,M97628107,"145,813","$2,034,091.35",1.69%
09/16/2025,IZRL,QUALITAU LTD,QLTU,6221689,"16,189","$1,944,988.68",1.62%
09/16/2025,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,"1,009,290","$1,923,518.21",1.60%
09/16/2025,IZRL,NEXXEN INTERNATIONAL LTD,NEXN,M8T80P204,"199,090","$1,921,218.50",1.60%
09/16/2025,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,"13,354","$1,911,556.07",1.59%
09/16/2025,IZRL,AUDIOCODES LTD,AUDC,M15342104,"184,548","$1,886,080.56",1.57%
09/16/2025,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,6328074,"94,053","$1,891,245.79",1.57%
09/16/2025,IZRL,HILAN LTD,HLAN,6267230,"24,269","$1,876,732.19",1.56%
09/16/2025,IZRL,CAMTEK LTD,CAMT,M20791105,"21,458","$1,880,793.70",1.56%
09/16/2025,IZRL,MATRIX IT LTD,MTRX,6747754,"52,558","$1,858,115.07",1.55%
